Year,Medical_District_AR,Medical_District_EN,Cause_of_Death_AR,Cause_of_Death_EN,Nationality_AR,Nationality_EN,Sex_AR,Sex_EN,Value,
2005,الغربیـــــــــه,Western Region,امراض جھاز تنفسي اخرى,Other Respiratory Diseases,جملة,Total,جملة,Total,3,
2005,الغربیـــــــــه,Western Region,امراض جھاز تنفسي اخرى,Ulcer of Stomach and Duodenum,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,قرحة بالمعدة او الاثنى عشر,Ulcer of Stomach and Duodenum,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,قرحة بالمعدة او الاثنى عشر,Appendicitis,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,التھاب الذائدة الدودية ,Appendicitis,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,التھاب الذائدة الدودية ,Appendicitis,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,التھاب الذائدة الدودية ,Appendicitis,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,التھاب الذائدة الدودية ,Appendicitis,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,التھاب الذائدة الدودية ,Chronic Liver Diseases and Cirrhosis,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,مرض الكبد المزمن وتشمع الكبد,Chronic Liver Diseases and Cirrhosis,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,مرض الكبد المزمن وتشمع الكبد,Nephritis Nephrotic Syndrome and Nephrosis,مواطن,Citizen,ذ,M,1,
2005,الغربیـــــــــه,Western Region,التھاب الكلیة والمتلازمة الكلوية و الكلاء,Nephritis Nephrotic Syndrome and Nephrosis,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,التھاب الكلیة والمتلازمة الكلوية و الكلاء,Nephritis Nephrotic Syndrome and Nephrosis,غیر مواطن,Non-Citizen,ذ,M,2,
2005,الغربیـــــــــه,Western Region,التھاب الكلیة والمتلازمة الكلوية و الكلاء,Nephritis Nephrotic Syndrome and Nephrosis,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,التھاب الكلیة والمتلازمة الكلوية و الكلاء,Nephritis Nephrotic Syndrome and Nephrosis,جملة,Total,جملة,Total,3,
2005,الغربیـــــــــه,Western Region,التھاب الكلیة والمتلازمة الكلوية و الكلاء,Hyperplasia of the Prostate,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,تضخم البروستاتا,Hyperplasia of the Prostate,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,تضخم البروستاتا,Hyperplasia of the Prostate,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,تضخم البروستاتا,Hyperplasia of the Prostate,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,تضخم البروستاتا,Hyperplasia of the Prostate,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,تضخم البروستاتا,Abortion,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,الاجھاض,Abortion,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الاجھاض,Abortion,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,الاجھاض,Abortion,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الاجھاض,Abortion,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,الاجھاض,Direct Obstetric Deaths,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,وفیات تتعلق مباشرة بالحمل و الولادة,Direct Obstetric Deaths,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,وفیات تتعلق مباشرة بالحمل و الولادة,Direct Obstetric Deaths,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,وفیات تتعلق مباشرة بالحمل و الولادة,Direct Obstetric Deaths,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,وفیات تتعلق مباشرة بالحمل و الولادة,Direct Obstetric Deaths,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,وفیات تتعلق مباشرة بالحمل و الولادة,Congenital Anomalies,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,العیوب الخلقیة,Congenital Anomalies,مواطن,Citizen,ا,F,3,
2005,الغربیـــــــــه,Western Region,العیوب الخلقیة,Congenital Anomalies,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,العیوب الخلقیة,Congenital Anomalies,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,العیوب الخلقیة,Congenital Anomalies,جملة,Total,جملة,Total,3,
2005,الغربیـــــــــه,Western Region,العیوب الخلقیة,Certain Conditions Originating in the Perinatal Period,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,حالات معینة تنشأ فى الفترة حوالى الولادة,Certain Conditions Originating in the Perinatal Period,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,حالات معینة تنشأ فى الفترة حوالى الولادة,Certain Conditions Originating in the Perinatal Period,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,حالات معینة تنشأ فى الفترة حوالى الولادة,Certain Conditions Originating in the Perinatal Period,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,حالات معینة تنشأ فى الفترة حوالى الولادة,Certain Conditions Originating in the Perinatal Period,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,حالات معینة تنشأ فى الفترة حوالى الولادة,Birth Trauma,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,اصابة اثناء الولادة  - رض المولود,Birth Trauma,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,اصابة اثناء الولادة  - رض المولود,Birth Trauma,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,اصابة اثناء الولادة  - رض المولود,Birth Trauma,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,اصابة اثناء الولادة  - رض المولود,Birth Trauma,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,اصابة اثناء الولادة  - رض المولود,"Signs, Symptoms, and Ill-Defined Conditions",مواطن,Citizen,ذ,M,4,
2005,الغربیـــــــــه,Western Region,العـــلامــــات والاعراض و الحالات غیر المحددة,"Signs, Symptoms, and Ill-Defined Conditions",مواطن,Citizen,ا,F,4,
2005,الغربیـــــــــه,Western Region,العـــلامــــات والاعراض و الحالات غیر المحددة,"Signs, Symptoms, and Ill-Defined Conditions",غیر مواطن,Non-Citizen,ذ,M,8,
2005,الغربیـــــــــه,Western Region,العـــلامــــات والاعراض و الحالات غیر المحددة,"Signs, Symptoms, and Ill-Defined Conditions",غیر مواطن,Non-Citizen,ا,F,1,
2005,الغربیـــــــــه,Western Region,العـــلامــــات والاعراض و الحالات غیر المحددة,"Signs, Symptoms, and Ill-Defined Conditions",جملة,Total,جملة,Total,17,
2005,الغربیـــــــــه,Western Region,العـــلامــــات والاعراض و الحالات غیر المحددة,Injuries and Poisonings,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,الاصـــــابات والتسمم,Injuries and Poisonings,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الاصـــــابات والتسمم,Injuries and Poisonings,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,الاصـــــابات والتسمم,Injuries and Poisonings,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الاصـــــابات والتسمم,Injuries and Poisonings,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,الاصـــــابات والتسمم,Fractures,مواطن,Citizen,ذ,M,2,
2005,الغربیـــــــــه,Western Region,الكسور,Fractures,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الكسور,Fractures,غیر مواطن,Non-Citizen,ذ,M,1,
2005,الغربیـــــــــه,Western Region,الكسور,Fractures,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الكسور,Fractures,جملة,Total,جملة,Total,3,
2005,الغربیـــــــــه,Western Region,الكسور,Intracranial and Internal Injuries including Nerve Related Injuries,مواطن,Citizen,ذ,M,15,
2005,الغربیـــــــــه,Western Region,الاصابات داخل الجمجمة و الاصابات الداخلیة,Intracranial and Internal Injuries including Nerve Related Injuries,مواطن,Citizen,ا,F,5,
2005,الغربیـــــــــه,Western Region,الاصابات داخل الجمجمة و الاصابات الداخلیة,Intracranial and Internal Injuries including Nerve Related Injuries,غیر مواطن,Non-Citizen,ذ,M,37,
2005,الغربیـــــــــه,Western Region,الاصابات داخل الجمجمة و الاصابات الداخلیة,Intracranial and Internal Injuries including Nerve Related Injuries,غیر مواطن,Non-Citizen,ا,F,9,
2005,الغربیـــــــــه,Western Region,الاصابات داخل الجمجمة و الاصابات الداخلیة,Intracranial and Internal Injuries including Nerve Related Injuries,جملة,Total,جملة,Total,66,
2005,الغربیـــــــــه,Western Region,الاصابات داخل الجمجمة و الاصابات الداخلیة,Effects of Foreign Body Entering Through Orifice,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,تاثیرات دخول اجسام غريبة فى فتحات الجسم الطبیعیة,Effects of Foreign Body Entering Through Orifice,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,تاثیرات دخول اجسام غريبة فى فتحات الجسم الطبیعیة,Effects of Foreign Body Entering Through Orifice,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,تاثیرات دخول اجسام غريبة فى فتحات الجسم الطبیعیة,Effects of Foreign Body Entering Through Orifice,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,تاثیرات دخول اجسام غريبة فى فتحات الجسم الطبیعیة,Effects of Foreign Body Entering Through Orifice,جملة,Total,جملة,Total,0,
2005,الغربیـــــــــه,Western Region,تاثیرات دخول اجسام غريبة فى فتحات الجسم الطبیعیة,Burns,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,الحروق,Burns,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الحروق,Burns,غیر مواطن,Non-Citizen,ذ,M,2,
2005,الغربیـــــــــه,Western Region,الحروق,Burns,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,الحروق,Burns,جملة,Total,جملة,Total,2,
2005,الغربیـــــــــه,Western Region,الحروق,Poisonings and Toxic Effects,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,التسممات والتاثیرات السامة,Poisonings and Toxic Effects,مواطن,Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,التسممات والتاثیرات السامة,Poisonings and Toxic Effects,غیر مواطن,Non-Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,التسممات والتاثیرات السامة,Poisonings and Toxic Effects,غیر مواطن,Non-Citizen,ا,F,1,
2005,الغربیـــــــــه,Western Region,التسممات والتاثیرات السامة,Poisonings and Toxic Effects,جملة,Total,جملة,Total,1,
2005,الغربیـــــــــه,Western Region,التسممات والتاثیرات السامة,Not Stated,مواطن,Citizen,ذ,M,0,
2005,الغربیـــــــــه,Western Region,غیر مبین,Not Stated,مواطن,Citizen,ا,F,1,
2005,الغربیـــــــــه,Western Region,غیر مبین,Not Stated,غیر مواطن,Non-Citizen,ذ,M,5,
2005,الغربیـــــــــه,Western Region,غیر مبین,Not Stated,غیر مواطن,Non-Citizen,ا,F,0,
2005,الغربیـــــــــه,Western Region,غیر مبین,Not Stated,غیر مبین,Not Stated,غير مبين,Not Stated,0,
2005,الغربیـــــــــه,Western Region,غیر مبین,Not Stated,جملة,Total,جملة,Total,6,
2005,الغربیـــــــــه,Western Region,غیر مبین,Total,مواطن,Citizen,ذ,M,26,
2005,الغربیـــــــــه,Western Region,الجملة,Total,مواطن,Citizen,ا,F,15,
2005,الغربیـــــــــه,Western Region,الجملة,Total,مواطن,Citizen,جملة,Total,41,
2005,الغربیـــــــــه,Western Region,الجملة,Total,غیر مواطن,Non-Citizen,ذ,M,89,
2005,الغربیـــــــــه,Western Region,الجملة,Total,غیر مواطن,Non-Citizen,ا,F,14,
2005,الغربیـــــــــه,Western Region,الجملة,Total,غیر مواطن,Non-Citizen,جملة,Total,103,
2005,الغربیـــــــــه,Western Region,الجملة,Grand Total,جملة,Total,جملة,Total,144,
2005,العين,Al Ain,الجملة,Infectious and Parasitic Diseases,مواطن,Citizen,ذ,M,3,
2005,العين,Al Ain,الجملة الكلية,Infectious and Parasitic Diseases,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ذ,M,6,
2005,العين,Al Ain,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,غیر مواطن,Non-Citizen,ا,F,1,
2005,العين,Al Ain,الامراض المعدية والطفیلیـــــة,Infectious and Parasitic Diseases,جملة,Total,جملة,Total,10,
2005,العين,Al Ain,الامراض المعدية والطفیلیـــــة,Intestinal Infectious Diseases,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الامراض المعدية والطفیلیـــــة,Intestinal Infectious Diseases,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,امراض الامعاء المعدية,Intestinal Infectious Diseases,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,امراض الامعاء المعدية,Intestinal Infectious Diseases,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,امراض الامعاء المعدية,Tuberculosis,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,امراض الامعاء المعدية,Tuberculosis,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ذ,M,1,
2005,العين,Al Ain,الــــــدرن,Tuberculosis,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الــــــدرن,Tuberculosis,جملة,Total,جملة,Total,1,
2005,العين,Al Ain,الــــــدرن,Whooping Cough,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الــــــدرن,Whooping Cough,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,السعال الديكي,Whooping Cough,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,السعال الديكي,Whooping Cough,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,السعال الديكي,Meningococcal Infection,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,السعال الديكي,Meningococcal Infection,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,عدوى بالمكورات السحائیــــة,Meningococcal Infection,غیر مواطن,Non-Citizen,ذ,M,1,
2005,العين,Al Ain,عدوى بالمكورات السحائیــــة,Meningococcal Infection,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,عدوى بالمكورات السحائیــــة,Meningococcal Infection,جملة,Total,جملة,Total,1,
2005,العين,Al Ain,عدوى بالمكورات السحائیــــة,Tetanus,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,عدوى بالمكورات السحائیــــة,Tetanus,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,التیتانوس-الكزاز,Tetanus,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,التیتانوس-الكزاز,Tetanus,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,التیتانوس-الكزاز,Tetanus,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,التیتانوس-الكزاز,Septicaemia,مواطن,Citizen,ذ,M,4,
2005,العين,Al Ain,التیتانوس-الكزاز,Septicaemia,مواطن,Citizen,ا,F,4,
2005,العين,Al Ain,التسمم الدموي,Septicaemia,غیر مواطن,Non-Citizen,ذ,M,2,
2005,العين,Al Ain,التسمم الدموي,Septicaemia,غیر مواطن,Non-Citizen,ا,F,1,
2005,العين,Al Ain,التسمم الدموي,Septicaemia,جملة,Total,جملة,Total,11,
2005,العين,Al Ain,التسمم الدموي,Smallpox,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,التسمم الدموي,Smallpox,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الجدري,Smallpox,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,الجدري,Smallpox,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الجدري,Smallpox,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,الجدري,Measles,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الجدري,Measles,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الحصبه,Measles,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,الحصبه,Measles,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الحصبه,Measles,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,الحصبه,Malaria,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الحصبه,Malaria,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الملاريا,Malaria,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,الملاريا,Malaria,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الملاريا,Malaria,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,الملاريا,Malignant Neoplasm of the Stomach,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الملاريا,Malignant Neoplasm of the Stomach,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,غیر مواطن,Non-Citizen,ذ,M,2,
2005,العين,Al Ain,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,غیر مواطن,Non-Citizen,ا,F,1,
2005,العين,Al Ain,ورم خبیث بالمعدة,Malignant Neoplasm of the Stomach,جملة,Total,جملة,Total,3,
2005,العين,Al Ain,ورم خبیث بالمعدة,Malignant Neoplasm of the Colon,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بالمعدة,Malignant Neoplasm of the Colon,مواطن,Citizen,ا,F,2,
2005,العين,Al Ain,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,غیر مواطن,Non-Citizen,ذ,M,2,
2005,العين,Al Ain,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,غیر مواطن,Non-Citizen,ا,F,2,
2005,العين,Al Ain,ورم خبیث بالقولون,Malignant Neoplasm of the Colon,جملة,Total,جملة,Total,6,
2005,العين,Al Ain,ورم خبیث بالقولون,Malignant Neoplasm of the Rectum,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بالقولون,Malignant Neoplasm of the Rectum,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,غیر مواطن,Non-Citizen,ذ,M,2,
2005,العين,Al Ain,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,ورم خبیث بالمستقیم او الشرج,Malignant Neoplasm of the Rectum,جملة,Total,جملة,Total,2,
2005,العين,Al Ain,ورم خبیث بالمستقیم او الشرج,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",مواطن,Citizen,ذ,M,2,
2005,العين,Al Ain,ورم خبیث بالمستقیم او الشرج,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",غیر مواطن,Non-Citizen,ذ,M,8,
2005,العين,Al Ain,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",غیر مواطن,Non-Citizen,ا,F,2,
2005,العين,Al Ain,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,"Malignant Neoplasm of the Trachea, Bronchus, and Lung",جملة,Total,جملة,Total,12,
2005,العين,Al Ain,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,Malignant Neoplasm of the Breast,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بالقصبة الھوائیة او الشعب او الرئه,Malignant Neoplasm of the Breast,مواطن,Citizen,ا,F,9,
2005,العين,Al Ain,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,غیر مواطن,Non-Citizen,ا,F,4,
2005,العين,Al Ain,ورم خبیث بالثدي,Malignant Neoplasm of the Breast,جملة,Total,جملة,Total,13,
2005,العين,Al Ain,ورم خبیث بالثدي,Malignant Neoplasm of the Cervix Uteri,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بالثدي,Malignant Neoplasm of the Cervix Uteri,مواطن,Citizen,ا,F,2,
2005,العين,Al Ain,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,غیر مواطن,Non-Citizen,ا,F,10,
2005,العين,Al Ain,ورم خبیث بعنق الرحم,Malignant Neoplasm of the Cervix Uteri,جملة,Total,جملة,Total,12,
2005,العين,Al Ain,ورم خبیث بعنق الرحم,Other Malignant Neoplasm,مواطن,Citizen,ذ,M,19,
2005,العين,Al Ain,ورم خبیث بعنق الرحم,Other Malignant Neoplasm,مواطن,Citizen,ا,F,13,
2005,العين,Al Ain,اورام خبیثة اخرى,Other Malignant Neoplasm,غیر مواطن,Non-Citizen,ذ,M,24,
2005,العين,Al Ain,اورام خبیثة اخرى,Other Malignant Neoplasm,غیر مواطن,Non-Citizen,ا,F,19,
2005,العين,Al Ain,اورام خبیثة اخرى,Other Malignant Neoplasm,جملة,Total,جملة,Total,75,
2005,العين,Al Ain,اورام خبیثة اخرى,Leukaemia,مواطن,Citizen,ذ,M,2,
2005,العين,Al Ain,اورام خبیثة اخرى,Leukaemia,مواطن,Citizen,ا,F,5,
2005,العين,Al Ain,سرطان الدم,Leukaemia,غیر مواطن,Non-Citizen,ذ,M,13,
2005,العين,Al Ain,سرطان الدم,Leukaemia,غیر مواطن,Non-Citizen,ا,F,3,
2005,العين,Al Ain,سرطان الدم,Leukaemia,جملة,Total,جملة,Total,23,
2005,العين,Al Ain,سرطان الدم,Diabetes Mellitus,مواطن,Citizen,ذ,M,9,
2005,العين,Al Ain,سرطان الدم,Diabetes Mellitus,مواطن,Citizen,ا,F,12,
2005,العين,Al Ain,داء السكري,Diabetes Mellitus,غیر مواطن,Non-Citizen,ذ,M,19,
2005,العين,Al Ain,داء السكري,Diabetes Mellitus,غیر مواطن,Non-Citizen,ا,F,10,
2005,العين,Al Ain,داء السكري,Diabetes Mellitus,جملة,Total,جملة,Total,50,
2005,العين,Al Ain,داء السكري,Nutritional Marasmus,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,داء السكري,Nutritional Marasmus,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الھزال الغذائي,Nutritional Marasmus,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,الھزال الغذائي,Nutritional Marasmus,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الھزال الغذائي,Nutritional Marasmus,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,الھزال الغذائي,Other Protein-Calorie Malnutrition,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,الھزال الغذائي,Other Protein-Calorie Malnutrition,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,انواع اخرى من سوء التغذية,Other Protein-Calorie Malnutrition,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,انواع اخرى من سوء التغذية,Anaemia,مواطن,Citizen,ذ,M,1,
2005,العين,Al Ain,انواع اخرى من سوء التغذية,Anaemia,مواطن,Citizen,ا,F,2,
2005,العين,Al Ain,فقر الدم,Anaemia,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,فقر الدم,Anaemia,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,فقر الدم,Anaemia,جملة,Total,جملة,Total,3,
2005,العين,Al Ain,فقر الدم,Mental Disorders,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,فقر الدم,Mental Disorders,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,الاضطرابات العقلیة,Mental Disorders,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,الاضطرابات العقلیة,Mental Disorders,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,الاضطرابات العقلیة,Mental Disorders,جملة,Total,جملة,Total,0,
2005,العين,Al Ain,الاضطرابات العقلیة,Diseases of the Nervous System,مواطن,Citizen,ذ,M,3,
2005,العين,Al Ain,الاضطرابات العقلیة,Diseases of the Nervous System,مواطن,Citizen,ا,F,3,
2005,العين,Al Ain,امراض الجھاز العصبي,Diseases of the Nervous System,غیر مواطن,Non-Citizen,ذ,M,5,
2005,العين,Al Ain,امراض الجھاز العصبي,Diseases of the Nervous System,غیر مواطن,Non-Citizen,ا,F,1,
2005,العين,Al Ain,امراض الجھاز العصبي,Diseases of the Nervous System,جملة,Total,جملة,Total,12,
2005,العين,Al Ain,امراض الجھاز العصبي,Meningitis,مواطن,Citizen,ذ,M,0,
2005,العين,Al Ain,امراض الجھاز العصبي,Meningitis,مواطن,Citizen,ا,F,0,
2005,العين,Al Ain,التھاب سحائي,Meningitis,غیر مواطن,Non-Citizen,ذ,M,0,
2005,العين,Al Ain,التھاب سحائي,Meningitis,غیر مواطن,Non-Citizen,ا,F,0,
2005,العين,Al Ain,التھاب سحائي,Meningitis,جملة,Total,جملة,Total,0,
